loop_id,v0,v1,length_mm,local_median_mm,ratio_to_local_median,max_adjacent_normal_jump_deg,first_new_face_index
1914,375082,375086,0.9119534118816722,0.5209370322091847,1.7506020027300977,11.818422556251459,873604
1914,375082,375084,0.949189113648635,0.5209370322091847,1.8220803186583283,11.818422556251459,873604
1918,376086,376131,0.8782006503576102,0.5329603849729942,1.6477784749463316,8.832000651491601,873609
1918,376089,376134,0.8829698542580253,0.5329603849729942,1.656726989760724,8.832000651491601,873609
1918,376086,376134,0.9315005436353619,0.5329603849729942,1.7477857077173986,8.832000651491601,873609
1919,376151,376409,0.8983981391901519,0.5349308152337721,1.6794660423470642,9.909084429999846,873613
1919,376145,376409,0.9073248841647011,0.5349308152337721,1.6961537049761992,9.909084429999846,873613
1919,376145,376151,0.9436853440011574,0.5349308152337721,1.7641259712973425,9.909084429999846,873613
1923,402913,402916,0.7433481436558506,0.48847796124404014,1.5217639333465836,23.07831489463999,873618
1923,376917,402913,0.8748879554690621,0.48847796124404014,1.7910489825189355,23.07831489463999,873618
1923,376917,402916,0.934000578928521,0.48847796124404014,1.9120628831438742,23.07831489463999,873618
1925,378036,378037,0.8829461753244632,0.5689380857327767,1.5519196156243482,5.382978539335353,873622
1925,378000,378001,0.8867540825431227,0.5689380857327767,1.558612623728657,5.382978539335353,873622
1925,378000,378037,0.9270213803279339,0.5689380857327767,1.6293888624699044,5.382978539335353,873622
1927,379342,379350,0.06363812150180724,0.4124917250634661,0.15427732881675596,21.796750982174057,873626
1932,381164,381166,0.9189568561598934,0.5568567919117741,1.6502570670009693,5.961917018806751,873629
1932,381163,381165,0.9235158074996943,0.5568567919117741,1.658444003761046,5.961917018806751,873629
1932,381164,381165,1.0335759959008344,0.5568567919117741,1.8560894127777643,5.961917018806751,873629
1934,381316,381401,0.24562657365217583,0.4934881641720432,0.4977354909094513,25.237079324199627,873633
1936,381845,381851,0.8683069472535955,0.5105559423238641,1.7007087280218096,6.522035241200283,873635
1936,381847,381853,0.8922253297518766,0.5105559423238641,1.7475564493301023,6.522035241200283,873635
1936,381847,381851,0.9607407833030657,0.5105559423238641,1.881754189227775,6.522035241200283,873635
1940,382583,382586,0.6146041903252446,0.5854312731708317,1.0498314977203143,54.22192423591442,873639
1942,383196,383213,0.38915101736823976,0.49090265973676506,0.7927254205078311,12.454801378393157,873641
1942,383198,383213,0.6166284849361451,0.49090265973676506,1.2561115176413946,12.454801378393157,873641
1946,383880,437291,0.46510700600493704,0.5896966281539916,0.7887225122194194,4.416417372768456,873645
1947,384120,384130,0.6983788976962895,0.5850715167041532,1.1936641551624725,30.583373631064788,873647
1948,384141,384143,0.1790114423526677,0.5360763348846586,0.3339290147758221,27.629469901697522,873649
1950,384269,384373,0.6353540384349663,0.40401295091637296,1.5726080983143507,14.786136794760242,873652
1952,385566,385573,0.9083124672846019,0.5527776836362426,1.6431786126198253,5.715644585948996,873654
1952,385562,385566,0.9454664483054356,0.5527776836362426,1.710391856064152,5.715644585948996,873654
1952,385562,385573,1.0957805770028386,0.5527776836362426,1.9823169593147345,5.715644585948996,873654
1953,385812,385814,0.8619688864720829,0.5191118963040918,1.6604683741771697,3.093388301151212,873658
1953,385809,385811,0.9166743056277604,0.5191118963040918,1.7658510855832505,3.093388301151212,873658
1953,385809,385814,0.9401836942285391,0.5191118963040918,1.8111387947807434,3.093388301151212,873658
1955,386455,386464,0.3014408454675809,0.4835054438533497,0.6234487104534232,5.405441654263791,873662
1957,387418,387422,0.8215511615008219,0.5056262097062864,1.6248191761618793,4.602310097924762,873664
1957,387420,387424,0.8418184333825861,0.5056262097062864,1.6649026834894314,4.602310097924762,873664
1957,387420,387422,0.9421429208812643,0.5056262097062864,1.8633189949321387,4.602310097924762,873664
1958,387427,387428,0.9101506119351217,0.5358590827046913,1.6984887283075132,5.401083509685419,873668
1958,387429,387430,0.9116078355509426,0.5358590827046913,1.701208144032382,5.401083509685419,873668
1958,387427,387430,1.0243111874282664,0.5358590827046913,1.9115308865498097,5.401083509685419,873668
1959,387442,387447,0.12779755414832322,0.4685279422399927,0.2727639968223322,22.98043077597404,873672
1960,387711,387722,0.8844687141327583,0.5164909901069761,1.7124571988168975,2.7552649704647614,873674
1960,387709,387714,0.8996369680595088,0.5164909901069761,1.7418250952899974,2.7552649704647614,873674
1960,387711,387714,1.103219407887059,0.5164909901069761,2.1359896474836066,2.7552649704647614,873674
1961,387834,387847,0.8519049283322546,0.5258296691539913,1.620115749084464,1.6500153594126046,873678
1961,387833,387846,0.8732327130336449,0.5258296691539913,1.6606760026276022,1.6500153594126046,873678
1961,387833,387847,0.9855645248856973,0.5258296691539913,1.8743037578525656,1.6500153594126046,873678
1962,388150,388151,0.8413176681793482,0.5248796983987062,1.6028771368868435,13.790886917395294,873682
1962,388148,388149,0.8454243931087096,0.5248796983987062,1.6107012629520927,13.790886917395294,873682
1962,388148,388151,0.9682965861540503,0.5248796983987062,1.8447971775401346,13.790886917395294,873682
1966,388946,392677,0.9054142674856667,0.537596963929294,1.6841878363077007,6.3429240283873645,873687
1966,388947,392678,0.9065644318024352,0.537596963929294,1.686327290943683,6.3429240283873645,873687
1966,388947,392677,1.0163366948606565,0.537596963929294,1.8905179215155081,6.3429240283873645,873687
1967,388973,388975,0.8085611916229679,0.5230547975805897,1.5458441359547779,6.041239741334723,873691
1967,388971,388975,0.8466309010474538,0.5230547975805897,1.6186275414422695,6.041239741334723,873691
1967,388971,388973,0.9021363988720992,0.5230547975805897,1.724745481821343,6.041239741334723,873691
1973,389642,389667,0.8539863525113848,0.5350959864764674,1.595949837214751,5.516559998049963,873695
1973,389642,389937,0.8647024902728111,0.5350959864764674,1.6159764082080985,5.516559998049963,873695
1973,389667,389937,0.8967206480828118,0.5350959864764674,1.675812696685678,5.516559998049963,873695
1975,389776,389779,0.9241483155297887,0.5474886579517103,1.6879770970731243,5.355950180129623,873700
1975,389775,389779,0.9558768138053512,0.5474886579517103,1.7459298926511488,5.355950180129623,873700
1975,389775,389776,0.9583941937054611,0.5474886579517103,1.750527942060114,5.355950180129623,873700
